Source,Target,Type
2298,3657,Undirected
2298,3859,Undirected
2298,4999,Undirected
2298,5356,Undirected
2298,6103,Undirected
2298,6114,Undirected
2298,6329,Undirected
2298,7131,Undirected
2298,7408,Undirected
2298,7490,Undirected
2298,7555,Undirected
2299,2300,Undirected
2299,5071,Undirected
2299,5347,Undirected
2299,5648,Undirected
2299,7557,Undirected
2299,4067,Undirected
2299,4075,Undirected
2299,4937,Undirected
2299,5194,Undirected
2299,6698,Undirected
2300,5071,Undirected
2300,5347,Undirected
2300,5648,Undirected
2300,7557,Undirected
2301,2766,Undirected
2301,3015,Undirected
2301,3476,Undirected
2301,3877,Undirected
2301,4117,Undirected
2301,4356,Undirected
2301,4557,Undirected
2301,4564,Undirected
2301,4719,Undirected
2301,5099,Undirected
2301,5145,Undirected
2301,5207,Undirected
2301,5287,Undirected
2301,5345,Undirected
2301,6642,Undirected
2301,6775,Undirected
2301,7237,Undirected
2301,7455,Undirected
2302,2405,Undirected
2302,4001,Undirected
2303,3861,Undirected
2303,4754,Undirected
2303,5159,Undirected
2303,5980,Undirected
2303,6071,Undirected
2303,6100,Undirected
2303,7008,Undirected
2303,7041,Undirected
2304,2736,Undirected
2304,3422,Undirected
2304,4505,Undirected
2304,5869,Undirected
2304,5949,Undirected
2305,2494,Undirected
2305,2541,Undirected
2305,2853,Undirected
2305,3065,Undirected
2305,3129,Undirected
2305,3295,Undirected
2305,3545,Undirected
2305,3698,Undirected
2305,3726,Undirected
2305,4319,Undirected
2305,4378,Undirected
2305,4672,Undirected
2305,4799,Undirected
2305,4879,Undirected
2305,5250,Undirected
2305,5470,Undirected
2305,5723,Undirected
2305,5745,Undirected
2305,5863,Undirected
2305,6095,Undirected
2305,6112,Undirected
2305,6439,Undirected
2305,6493,Undirected
2305,6526,Undirected
2305,6972,Undirected
2305,7277,Undirected
2306,2704,Undirected
2306,3412,Undirected
2306,4586,Undirected
2306,4953,Undirected
2306,6047,Undirected
2306,2704,Undirected
2306,3412,Undirected
2306,4586,Undirected
2306,6047,Undirected
2306,2704,Undirected
2306,3412,Undirected
2306,4586,Undirected
2306,6047,Undirected
2306,4586,Undirected
2306,6047,Undirected
2307,3907,Undirected
2307,4003,Undirected
2307,4803,Undirected
2307,4878,Undirected
2307,5914,Undirected
2307,6588,Undirected
2307,6641,Undirected
2307,7158,Undirected
2308,2701,Undirected
2308,3654,Undirected
2308,4078,Undirected
2308,4190,Undirected
2308,4769,Undirected
2308,4976,Undirected
2308,5139,Undirected
2308,5152,Undirected
2308,5346,Undirected
2308,6333,Undirected
2308,6443,Undirected
2308,6449,Undirected
2308,7007,Undirected
2308,7023,Undirected
2308,7069,Undirected
2309,3860,Undirected
2309,4863,Undirected
2309,5603,Undirected
2309,6410,Undirected
2309,6518,Undirected
2309,6836,Undirected
2309,7305,Undirected
2309,3143,Undirected
2309,3170,Undirected
2309,3480,Undirected
2309,4053,Undirected
2309,4863,Undirected
2309,5209,Undirected
2309,5235,Undirected
2309,5684,Undirected
2309,6410,Undirected
2309,6552,Undirected
2309,6625,Undirected
2309,7029,Undirected
2310,2975,Undirected
2310,4205,Undirected
2310,6116,Undirected
