Source,Target,Type
96,300,Undirected
30,342,Undirected
30,738,Undirected
30,1173,Undirected
342,738,Undirected
342,1173,Undirected
738,1173,Undirected
29,732,Undirected
29,1674,Undirected
732,1674,Undirected
223,2084,Undirected
1167,1837,Undirected
737,1448,Undirected
737,1531,Undirected
737,1564,Undirected
1448,1531,Undirected
1448,1564,Undirected
1531,1564,Undirected
782,865,Undirected
1238,2021,Undirected
1306,2176,Undirected
299,1967,Undirected
152,1332,Undirected
152,1465,Undirected
152,2000,Undirected
1332,1465,Undirected
1332,2000,Undirected
1465,2000,Undirected
1400,1913,Undirected
26,365,Undirected
26,370,Undirected
26,657,Undirected
26,1857,Undirected
365,370,Undirected
365,657,Undirected
365,1857,Undirected
370,657,Undirected
370,1857,Undirected
657,1857,Undirected
362,2133,Undirected
114,1248,Undirected
114,1324,Undirected
1248,1324,Undirected
1128,1432,Undirected
1128,1781,Undirected
1128,1871,Undirected
1432,1781,Undirected
1432,1871,Undirected
1781,1871,Undirected
716,1158,Undirected
716,1530,Undirected
716,1841,Undirected
1158,1530,Undirected
1158,1841,Undirected
1530,1841,Undirected
499,597,Undirected
499,1344,Undirected
499,1470,Undirected
597,1344,Undirected
597,1470,Undirected
1344,1470,Undirected
1286,2279,Undirected
46,48,Undirected
46,142,Undirected
46,987,Undirected
46,1480,Undirected
48,142,Undirected
48,987,Undirected
48,1480,Undirected
142,987,Undirected
142,1480,Undirected
987,1480,Undirected
630,984,Undirected
325,1896,Undirected
1499,1502,Undirected
612,613,Undirected
612,619,Undirected
612,781,Undirected
613,619,Undirected
613,781,Undirected
619,781,Undirected
628,782,Undirected
433,1238,Undirected
257,1927,Undirected
57,264,Undirected
57,425,Undirected
57,643,Undirected
57,648,Undirected
57,649,Undirected
57,793,Undirected
57,1504,Undirected
57,1968,Undirected
264,425,Undirected
264,643,Undirected
264,648,Undirected
264,649,Undirected
264,793,Undirected
264,1504,Undirected
264,1968,Undirected
425,643,Undirected
425,648,Undirected
425,649,Undirected
425,793,Undirected
425,1504,Undirected
425,1968,Undirected
643,648,Undirected
643,649,Undirected
643,793,Undirected
643,1504,Undirected
643,1968,Undirected
648,649,Undirected
648,793,Undirected
648,1504,Undirected
648,1968,Undirected
649,793,Undirected
649,1504,Undirected
649,1968,Undirected
793,1504,Undirected
793,1968,Undirected
1504,1968,Undirected
130,235,Undirected
130,940,Undirected
130,1484,Undirected
130,1852,Undirected
235,940,Undirected
235,1484,Undirected
235,1852,Undirected
940,1484,Undirected
940,1852,Undirected
1484,1852,Undirected
63,776,Undirected
63,1830,Undirected
776,1830,Undirected
704,1233,Undirected
1362,1445,Undirected
884,1108,Undirected
884,1437,Undirected
1108,1437,Undirected
307,1467,Undirected
307,1612,Undirected
307,2021,Undirected
307,2085,Undirected
1467,1612,Undirected
1467,2021,Undirected
1467,2085,Undirected
1612,2021,Undirected
1612,2085,Undirected
2021,2085,Undirected
127,483,Undirected
127,1243,Undirected
127,2010,Undirected
483,1243,Undirected
483,2010,Undirected
1243,2010,Undirected
1083,2095,Undirected
959,1271,Undirected
959,1432,Undirected
959,2094,Undirected
1271,1432,Undirected
1271,2094,Undirected
1432,2094,Undirected
1432,2094,Undirected
335,701,Undirected
335,710,Undirected
701,710,Undirected
598,601,Undirected
598,1389,Undirected
598,1787,Undirected
598,1945,Undirected
601,1389,Undirected
601,1787,Undirected
601,1945,Undirected
1389,1787,Undirected
1389,1945,Undirected
1787,1945,Undirected
452,1108,Undirected
1139,1555,Undirected
1139,2186,Undirected
1555,2186,Undirected
90,295,Undirected
90,502,Undirected
90,1047,Undirected
90,1875,Undirected
295,502,Undirected
295,1047,Undirected
295,1875,Undirected
502,1047,Undirected
502,1875,Undirected
1047,1875,Undirected
807,946,Undirected
807,2025,Undirected
946,2025,Undirected
257,259,Undirected
