Id,Label
1,A. & A.G Brown
2,A. G. Kidston & Co.
3,A.Lusk & Co.
4,A. O. Ewing & Co.
5,Aberdare Railway Company
6,Aberdeen Commercial Company
7,Aberdeen District Tramways Company
8,Aberdeen Heritable Securities Investment Company Limited
9,Aberdeen Jute Company Limited
10,Aberdeen Lime Company
11,Aberdeen Newcastle and Hull Steam Company Limited 
12,Aberdeen Plate Glass insurance Companny Limited
13,Aberdeen Scottish Provintial Fire and Life Assurance Company
14,Aberdeen Steam Navigation Company
15,Aberdeen Town and Country Banking Company
16,Davidson Merchants
17,Abergynolwyn Slate Company Limited
18,Abglo Universal Bank Limited
19,Abingdon Railway Company
20,Abney Park Cemetry Company Limited
21,Accident Insurance Company Limited
22,Accident Insurance Association of Scotland
23,Addlestone Linoleum Company Limited
24,Adelphi Bank Limited
25,African Steamship Company
26,Agra Bank Limited
27,Agricultural Company of Mauritius Limited
28,Agricultural Hall Company Limited
29,Alabama Great Southern Railway Company Limited
30,Alamilions Company Limited
31,Albert New Mill Company Limited
32,Albo-Carbon Light Company Limited
33,Alexander Dicks Company
34,Alexander Drew & Son
35,Alexander Howdem & Co.
36,Alexander Reid & Sons
37,Alexander Slate Company Limited
38,Alexander Theatre Company Limted
39,Alexandra  Dock Company
40,Alfred Gouger & Co.
41,Alhambra Company Limited
42,Allardie & Co.
43,Alliance and Dublin Consumers Gas Company
44,Alliance and North Western Railway Company
45,Alliance Bank Limited
46,Alliance British and Foregin Life and Fire Assurance Company
47,Alliance Heritable Security Company Limited
48,Alliance Marine Assurance Company
49,Alltami Colliery Co.
50,Almada and Tirito Consolidated Silver Mining Company Limited
51,Amazon Steam Navigation Company Limited
52,American Freehold Land Mortgage Company of London
53,American Investment Trust Company Limited
54,American Mortgage Company of Scotland Limited
55,Andrew Handyside & Company Limited
56,Andrew Knowles and Sons Limited
57,Anglo American Telegraph Company Limited
58,Anglo Argentine Tramways Company Limited
59,Anglo Austrian Bank
60,Anglo Austrian Bank
61,The Russian Bank of For Trade
62,Anglo California Bank Limited
63,Anglo Egyptian Banking Company Limited
64,Anglo Foregin Banking Company Limited
65,Anglo French Brewery Company Limited
66,Anglo French Fire Insurance Company Limited
67,Anglo French Insurance Company Limited
68,Anglo French Tramways Company Limited
69,Anglo Italian Bank Limited
70,Anglo Maltese Hydraulic Dock Company Limited
71,Anglo Pacific Trust and Loan Company Limited
72,Anglo Universal Bank Limited
73,Animal Charcoal Company Limited
74,Annuity Institution Limited
75,Anthony Gibbs & Sons
76,Antioquia Company Limited
77,Anton & Greig 
78,Antrim Iron Ore Company Limited
79,Apollianaris Company Limited
80,Appley Bridge and West Lancashire Corn Mill Company Limited
81,Arbroath and Forfar Railway Company
82,Archangel Marine Insurance Company Limited
83,Ardrossan Gas and Water Company Limited
84,Argus Life Assurance Company
85,Arica and Tacna Railway Company
86,Arinston Coal Company Limited
87,Armington Fry & Co.
88,Armitage and Rigbys
89,Arniston and Australasian Land Company Limited
90,Arnott and Company Dublin Limited
91,Arthur B. White & Co.
92,Arthur Capel Co.
93,Artisans Labourers and General Dwellings Company Limited
94,Ashotke Vale Iron Company Limited and Bristol Railway Waterworks Company
95,"Ashton Stalybridge, Hyde and Glossop Bank"
96,Ashton Vale Iron Company Limited
97,Asiatic Steamship Company
98,Aspdin & Co. Wakefield
99,Asphaltic Land Socaity 
100,Asphaltic Wood Pavement Company Limited
101,Asphaltile and Hans Palce Estate Limited
102,Assam Company
103,Assurance Company of Scotland
104,Atlantic and Great Western Railroad Company 
105,Atlantic Light Company
106,Atlas Assurance Company
107,Auction Mart Company Limited
108,Australian Agricultural Company
109,Australian and General Merchants 
110,Australian and New Zealand Mortgage Company Limited
111,Australian Ice Company Limited
112,Australian Joint Stock Bank
113,Australian Mining Assurance Company
114,Australian Mortgage Land and Finance Company Limited
115,Aylesbury and Buckingham Railway Company
116,Aylesbury Dairy Company Limited
117,Babbury and Cheltepany Direct Railway Company
118,Bahia and San Francisco Railway Company Limited
119,Bahia Gas Company Limited
120,Bailie & Co.
121,Bala and Festiniog Railway Company
122,Bally Paper Mills Company Limited
123,Baltic Company Limited
124,Ban Railway Company
125,Banbury and Cheltemham Direct Railway Company
126,Bank of Africa Limited
127,Bank of Australia
128,Foreign and Colonial Tunnelling and Prospecting Company Limited
129,Bank of Bolton Limited
130,Bank of British Columbia 
131,Bank of British North America
132,Bank of Egypt
133,Bank of England
134,East Indian Railway Company
135,Imperial Life Insurance Company
136,Bank of Ireland
137,Bank of Liverpool
138,Liverpool London and Globe Insurance Company
139,Bank of Montreal 
140,Bank of New South Wales
141,Bank of New Zealand
142,Bank of Romania
143,Bank of Scotland
144,Leith Gas Company
145,Standard Life Assurance Company
146,Bank of Scotland at Strathaven 
147,Bank of South Australia
148,Bank of Whitehaven Limited
149,Bankhall Oil and Chemical Works Limited
150,Banking Company of Sydney
151,Banking de Constantinople
152,Berks and Hants Extension Railway Company
153,Barbados Railway Company Limited
154,Barcelona Tramways Company Limited
155,"Barclay, Bevan, Tritton, Twells & Co."
156,Bardford Old Bank Limited
157,Baring Brothers & Co.
158,Barlett & Co.
159,Barlow & Sons
160,Barna Railway Company
161,Barnagore Jute Factory Company Limited
162,Barnet District Gas and Water Company
163,Barnsley Banking Company
164,Barnsley Gas Company
165,Barnsley Mechanics Intitute & Co.
166,Barrow Jute Company Limited
167,Barrow Ship Building Company Limited
168,Barrow Steed Company Limited
169,Bath Gas Light and Coke Company
170,Baths and Aquarium Company
171,Bational Dwellings Society Limited
172,Bavarian Mining Company Limited
173,Bay of Havana and Matanzas Railway Company
174,Bayley and Dixon Limited
175,Danube and Black Sea Railway and Harbour Company
176,Beaconsfield Mortgage Investment Society
177,Beal & Harrison Solicitors
178,Beckett & Co.
179,Bedford and Northampton Railway Company
180,Belfast and County Down Railway Company
181,Belfast and Northern Counties Railway Company
182,Belfast Banking Company
183,Belfast Bread Consumer's Company
184,Belfast Central Railway Company
185,Belfast Flax and Jute Company Limited
186,Belfast Holywood and Banger Railway Company
187,Belfast Iron Ore Company Limited
188,Belfast Salt Mining Company
189,Belfast Standard Fire Office Company
190,Belfast Steamship Company Limited
191,Belfast Street Tramways Company
192,Belize Estate and Produce Company Limited
193,Ben Rydding Hydropathic Company
194,Bengal Mills Company
195,Benhar Coal Company Limited
196,Benjamin Whiteworth & Brothers 
197,Bennett Brown & Co.
198,Berehaven Copper Mining Company Limited
199,"Berkin Manor, Horton, Bucks"
200,Berlin Phosphate Sewage and Manure Company Limited
201,Bessbrook Spinning Company Limited
202,Beyrouth Waterworks Company Limited
203,Bilbao Iron Ore Company Limited
204,Bilson and Crump Meadow Collieries Company Limited
205,Bird & Collins
206,Birdseye Creek Gold Mining Company Limited
207,Birkdale Land Company Limited
208,Birkenhead Brewery Company Limited
209,Birkenhead Railway Company
210,Birkenhead Tramways Company Limited
211,Birmingham and Midland Counties Val de Travers Paving Company Limited
212,Birmingham and District Land Company Limted
213,Birmingham and Midlands Bank
214,Birmingham Aquarium Company Limited
215,Birmingham Banking Company Limited
216,Birmingham Canal Navigation Limited
217,Birmingham Dudley and District Banking Company
218,Birmingham Exchange Buildings Company Limited
219,Birmingham General Cementry
220,Birmingham Joint Stock Bank Limited
221,Birmingham Nut and Bolt Company Limited
222,Birmingham Railway Carriage and Wagon Company Limited
223,Birmingham Small Arms and Metal Company Limited
224,Birmingham Tramways and Omnibus Company Limted
225,Blackpool Pier Company
226,Blackrock and Passage Railway Company
227,Blair and Summer
228,Blakely Hall Coal and Iron Company Limited
229,Blane Valley Railway Company
230,Blue Tent Consolidated Hydraulic Gold Mines of California Limited
231,"Blyth, Greene & Co."
232,Boiler Insurance and Steam Power Company Limited
233,Bolcknow Insurance Company Limited
234,Bolckow Vaughan and Co. Limited
235,Bolivar Railway Company Limited
236,Bolton Water Works Company Limited
237,Bolton & Co. 
238,Bombay Baroda and Central India Railway Company
239,Bombay Gas Company Limited
240,Bordier & Company
241,Borelli Tea Company Limited
242,Borneo Company Limited
243,Borough Wharves and Warhouses Limited
244,"Borthwick, Wark & Co."
245,"Bosanquet, Curits & Co."
246,"Bosanquet, Salt and Company"
247,Bottishead Colliery Company
248,Bournemouth Gas and Water Company
249,Bouverie & Co.
250,Bowrin's Patent Press Company Limited
251,Bradford and Worth Valley Railway Company
252,Bradford Banking Company
253,Bradford Brick and Tile Company Limited
254,Bradford Cemetery Company
255,Bradford Commercial Joint Stock Bank
256,Bradford District Bank Limited
257,Bradford Exchange Company Limited
258,Bradford Old Bank Limited
259,Bradford Victoria Hotel Company Limited
260,Braendlin Armoury Company Limited
261,Braid Water Spinning Company Limited
262,Brandon Armoury Company Limited
263,Brazilian Street Railway Company Limited
264,Brazilian Submarine Telegraph Company Limited
265,Brecon and Merthyr Tydfil Junction Railway Company
266,Great Western of Brazil Railway Company Limited
267,Brennan and Company Limited
268,Brentford Gas Company
269,Brewery Company Limited
270,Bridge of Allan Hydropathic Company Limited
271,Bridge Town Waterworks Company
272,Bridgewater Navigation Company Limited
