Source,Target
2298,779
2299,96
2299,300
2300,96
2301,1230
2302,1830
2303,1745
2304,2271
2305,1526
2306,30
2306,342
2306,738
2306,1173
2307,1547
2308,1773
2309,29
2309,732
2309,1674
2310,223
2310,2084
2311,408
2312,327
2313,597
2314,1297
2315,769
2316,145
2317,1891
2318,659
2320,1167
2320,1837
2321,1564
2323,2100
2324,737
2324,1448
2324,1531
2324,1564
2325,881
2326,782
2326,865
2327,2088
2329,1238
2329,2021
2330,1306
2330,2176
2331,1261
2332,478
2333,1692
2334,1436
2335,299
2335,1967
2336,152
2336,1332
2336,1465
2336,2000
2337,1400
2337,1913
2338,26
2338,365
2338,370
2338,657
2338,1857
2339,362
2339,2133
2341,114
2341,1248
2341,1324
2342,1562
2343,409
2344,1128
2344,1432
2344,1781
2344,1871
2345,716
2345,1158
2345,1530
2345,1841
2346,499
2346,597
2346,1344
2346,1470
2347,2147
2348,2259
2350,1419
2351,1939
2353,2106
2354,1286
2354,2279
2355,1367
2356,488
2357,186
2358,46
2358,48
2358,142
2358,987
2358,1480
2359,630
2359,984
2360,325
2360,1896
2361,127
2362,1499
2362,1502
2363,1838
2364,2123
2365,612
2365,613
2365,619
2365,781
2366,584
2367,1858
2368,993
2369,1288
2370,1338
2371,125
2372,569
2373,1405
2374,628
2374,782
2375,2076
2376,2178
2377,153
2378,1499
2379,1499
2380,1974
2381,1700
2382,1440
2383,848
2384,739
2385,433
2385,1238
2386,474
2388,257
2388,1927
2389,886
2391,1892
2392,1527
2393,657
2394,1805
2395,1509
2396,57
2396,264
2396,425
2396,643
2396,648
2396,649
2396,793
2396,1504
2396,1968
2397,366
2398,130
2398,235
2398,940
2398,1484
2398,1852
2399,662
2400,1947
2401,946
2402,685
2403,1838
2404,1428
2405,63
2405,776
2405,1830
2406,180
2407,482
2408,2203
2409,425
2410,704
2410,1233
2411,478
2412,1362
2412,1445
2413,652
2414,884
2414,1108
2414,1437
2415,307
2415,1467
2415,1612
2415,2021
2415,2085
2416,1242
2417,127
2417,483
2417,1243
2417,2010
2418,1338
2419,657
2420,865
2421,1083
2421,2095
2422,84
2423,447
2424,1456
2425,959
2425,1271
2425,1432
2425,2094
2426,1871
2427,1432
2427,2094
2428,335
2428,701
2428,710
2429,501
2430,598
2430,601
2430,1389
2430,1787
2430,1945
2431,1974
2432,452
2432,1108
2433,885
2434,1139
2434,1555
2434,2186
2435,90
2435,295
2435,502
2435,1047
2435,1875
2436,295
2437,807
2437,946
2437,2025
2438,126
2439,2180
2440,257
2440,259
2440,1927
2441,1841
2441,1850
2442,265
2442,436
2442,671
2442,1172
2443,66
2443,93
2443,1222
2443,1731
2444,894
2446,984
2446,993
2446,1239
2446,2083
2447,31
2447,1451
2448,346
2448,1110
2449,583
2450,1152
2451,335
2451,952
2451,1221
2452,135
2452,639
2452,848
2452,993
2452,1817
2452,2065
2453,1552
2454,1566
2455,1007
2456,934
2457,1306
2457,2178
2458,1281
2458,1363
2458,1446
2459,2179
2460,1169
2461,1450
2462,424
2462,963
2462,1949
2463,772
2464,263
2465,1315
2465,2057
2466,1257
2466,1366
2466,1751
2466,1804
2466,1811
2467,220
2467,1966
2468,380
2469,257
2470,1790
2471,1937
2472,1094
2473,1839
2474,1234
2475,556
2475,974
2476,493
2476,691
2476,1614
2476,2085
2477,1154
2478,1967
2479,481
2480,691
2480,1264
2481,1154
2482,1255
2483,2089
2484,1866
2485,2106
2486,1657
2487,777
2487,1579
2487,1580
2488,1137
2489,965
2490,386
2491,444
2492,1121
2492,1277
2493,1817
2494,1526
2496,303
2496,752
2496,1419
2496,1938
2497,633
2498,222
2499,564
2500,333
2501,853
2502,211
2503,104
2504,162
2505,536
2505,1221
2506,147
2506,671
2507,288
2508,835
2509,318
2510,2084
2511,641
2512,209
2512,353
2512,1226
2512,1540
2513,1156
2514,2106
2515,1161
2516,904
2517,358
2517,580
2517,994
2517,1869
2517,2182
2518,38
2518,907
2518,1468
2519,1098
2520,492
2520,656
2520,888
2521,1319
2522,71
2523,2291
2524,752
2524,1852
2525,531
2526,57
2526,842
2526,1504
2526,2121
2527,189
2528,1305
2529,2093
2530,399
2531,135
2531,1465
2532,22
2532,143
2532,659
2532,1459
2533,473
2533,736
2533,1548
2534,433
2534,434
2534,805
2535,483
2535,1789
2535,1801
2536,135
2536,984
2537,201
2537,610
2538,1073
2538,1813
2538,1852
2538,1962
2538,1976
2539,573
2539,1345
2540,133
2541,1324
2541,1526
2542,157
2542,2087
2543,421
2543,1394
2544,2069
2545,638
2546,2192
2547,1430
2548,421
2548,946
2549,775
2549,1628
2550,175
2550,636
2550,638
2550,2127
2551,1488
2551,1942
2552,2291
2553,852
2554,469
2554,733
2554,1796
2554,1903
2554,2211
2554,2217
2555,2106
2556,159
2556,1400
2557,677
2558,159
2558,1432
2558,1451
2558,2086
2558,2094
2558,2178
2559,995
2560,641
2561,2275
2562,2020
2563,129
2563,1108
2563,1711
2563,1799
2563,2275
