Id,Label,Type
1,A. & A.G Brown,0
2,A. G. Kidston & Co.,0
3,A.Lusk & Co.,0
4,A. O. Ewing & Co.,0
5,Aberdare Railway Company,0
6,Aberdeen Commercial Company,0
7,Aberdeen District Tramways Company,0
8,Aberdeen Heritable Securities Investment Company Limited,0
9,Aberdeen Jute Company Limited,0
10,Aberdeen Lime Company,0
11,"Aberdeen Newcastle and Hull Steam Company Limited ",0
12,Aberdeen Plate Glass insurance Companny Limited,0
13,Aberdeen Scottish Provintial Fire and Life Assurance Company,0
14,Aberdeen Steam Navigation Company,0
15,Aberdeen Town and Country Banking Company,0
16,Davidson Merchants,0
17,Abergynolwyn Slate Company Limited,0
18,Abglo Universal Bank Limited,0
19,Abingdon Railway Company,0
20,Abney Park Cemetry Company Limited,0
21,Accident Insurance Company Limited,0
22,Accident Insurance Association of Scotland,0
23,Addlestone Linoleum Company Limited,0
24,Adelphi Bank Limited,0
25,African Steamship Company,0
26,Agra Bank Limited,0
27,Agricultural Company of Mauritius Limited,0
28,Agricultural Hall Company Limited,0
29,Alabama Great Southern Railway Company Limited,0
30,Alamilions Company Limited,0
31,Albert New Mill Company Limited,0
32,Albo-Carbon Light Company Limited,0
33,Alexander Dicks Company,0
34,Alexander Drew & Son,0
35,Alexander Howdem & Co.,0
36,Alexander Reid & Sons,0
37,Alexander Slate Company Limited,0
38,Alexander Theatre Company Limted,0
39,Alexandra  Dock Company,0
40,Alfred Gouger & Co.,0
41,Alhambra Company Limited,0
42,Allardie & Co.,0
43,Alliance and Dublin Consumers Gas Company,0
44,Alliance and North Western Railway Company,0
45,Alliance Bank Limited,0
46,Alliance British and Foregin Life and Fire Assurance Company,0
47,Alliance Heritable Security Company Limited,0
48,Alliance Marine Assurance Company,0
49,Alltami Colliery Co.,0
50,Almada and Tirito Consolidated Silver Mining Company Limited,0
51,Amazon Steam Navigation Company Limited,0
52,American Freehold Land Mortgage Company of London,0
53,American Investment Trust Company Limited,0
54,American Mortgage Company of Scotland Limited,0
55,Andrew Handyside & Company Limited,0
56,Andrew Knowles and Sons Limited,0
57,Anglo American Telegraph Company Limited,0
58,Anglo Argentine Tramways Company Limited,0
59,Anglo Austrian Bank,0
60,Anglo Austrian Bank,0
61,The Russian Bank of For Trade,0
62,Anglo California Bank Limited,0
63,Anglo Egyptian Banking Company Limited,0
64,Anglo Foregin Banking Company Limited,0
65,Anglo French Brewery Company Limited,0
66,Anglo French Fire Insurance Company Limited,0
67,Anglo French Insurance Company Limited,0
68,Anglo French Tramways Company Limited,0
69,Anglo Italian Bank Limited,0
70,Anglo Maltese Hydraulic Dock Company Limited,0
71,Anglo Pacific Trust and Loan Company Limited,0
72,Anglo Universal Bank Limited,0
73,Animal Charcoal Company Limited,0
74,Annuity Institution Limited,0
75,Anthony Gibbs & Sons,0
76,Antioquia Company Limited,0
77,"Anton & Greig ",0
78,Antrim Iron Ore Company Limited,0
79,Apollianaris Company Limited,0
80,Appley Bridge and West Lancashire Corn Mill Company Limited,0
81,Arbroath and Forfar Railway Company,0
82,Archangel Marine Insurance Company Limited,0
83,Ardrossan Gas and Water Company Limited,0
84,Argus Life Assurance Company,0
85,Arica and Tacna Railway Company,0
86,Arinston Coal Company Limited,0
87,Armington Fry & Co.,0
88,Armitage and Rigbys,0
89,Arniston and Australasian Land Company Limited,0
90,Arnott and Company Dublin Limited,0
91,Arthur B. White & Co.,0
92,Arthur Capel Co.,0
93,Artisans Labourers and General Dwellings Company Limited,0
94,Ashotke Vale Iron Company Limited and Bristol Railway Waterworks Company,0
95,"Ashton Stalybridge, Hyde and Glossop Bank",0
96,Ashton Vale Iron Company Limited,0
97,Asiatic Steamship Company,0
98,Aspdin & Co. Wakefield,0
99,"Asphaltic Land Socaity ",0
100,Asphaltic Wood Pavement Company Limited,0
101,Asphaltile and Hans Palce Estate Limited,0
102,Assam Company,0
103,Assurance Company of Scotland,0
104,"Atlantic and Great Western Railroad Company ",0
105,Atlantic Light Company,0
106,Atlas Assurance Company,0
107,Auction Mart Company Limited,0
108,Australian Agricultural Company,0
109,"Australian and General Merchants ",0
110,Australian and New Zealand Mortgage Company Limited,0
111,Australian Ice Company Limited,0
112,Australian Joint Stock Bank,0
113,Australian Mining Assurance Company,0
114,Australian Mortgage Land and Finance Company Limited,0
115,Aylesbury and Buckingham Railway Company,0
116,Aylesbury Dairy Company Limited,0
117,Babbury and Cheltepany Direct Railway Company,0
118,Bahia and San Francisco Railway Company Limited,0
119,Bahia Gas Company Limited,0
120,Bailie & Co.,0
121,Bala and Festiniog Railway Company,0
122,Bally Paper Mills Company Limited,0
123,Baltic Company Limited,0
124,Ban Railway Company,0
125,Banbury and Cheltemham Direct Railway Company,0
126,Bank of Africa Limited,0
127,Bank of Australia,0
128,Foreign and Colonial Tunnelling and Prospecting Company Limited,0
129,Bank of Bolton Limited,0
130,"Bank of British Columbia ",0
131,Bank of British North America,0
132,Bank of Egypt,0
133,Bank of England,0
134,East Indian Railway Company,0
135,Imperial Life Insurance Company,0
136,Bank of Ireland,0
137,Bank of Liverpool,0
138,Liverpool London and Globe Insurance Company,0
139,"Bank of Montreal ",0
140,Bank of New South Wales,0
141,Bank of New Zealand,0
142,Bank of Romania,0
143,Bank of Scotland,0
144,Leith Gas Company,0
145,Standard Life Assurance Company,0
146,"Bank of Scotland at Strathaven ",0
147,Bank of South Australia,0
148,Bank of Whitehaven Limited,0
149,Bankhall Oil and Chemical Works Limited,0
150,Banking Company of Sydney,0
151,Banking de Constantinople,0
152,Berks and Hants Extension Railway Company,0
153,Barbados Railway Company Limited,0
154,Barcelona Tramways Company Limited,0
155,"Barclay, Bevan, Tritton, Twells & Co.",0
156,Bardford Old Bank Limited,0
157,Baring Brothers & Co.,0
158,Barlett & Co.,0
159,Barlow & Sons,0
160,Barna Railway Company,0
161,Barnagore Jute Factory Company Limited,0
162,Barnet District Gas and Water Company,0
163,Barnsley Banking Company,0
164,Barnsley Gas Company,0
165,Barnsley Mechanics Intitute & Co.,0
166,Barrow Jute Company Limited,0
167,Barrow Ship Building Company Limited,0
168,Barrow Steed Company Limited,0
169,Bath Gas Light and Coke Company,0
170,Baths and Aquarium Company,0
171,Bational Dwellings Society Limited,0
172,Bavarian Mining Company Limited,0
173,Bay of Havana and Matanzas Railway Company,0
174,Bayley and Dixon Limited,0
175,Danube and Black Sea Railway and Harbour Company,0
176,Beaconsfield Mortgage Investment Society,0
177,Beal & Harrison Solicitors,0
178,Beckett & Co.,0
179,Bedford and Northampton Railway Company,0
180,Belfast and County Down Railway Company,0
181,Belfast and Northern Counties Railway Company,0
182,Belfast Banking Company,0
183,Belfast Bread Consumer's Company,0
184,Belfast Central Railway Company,0
185,Belfast Flax and Jute Company Limited,0
186,Belfast Holywood and Banger Railway Company,0
187,Belfast Iron Ore Company Limited,0
188,Belfast Salt Mining Company,0
189,Belfast Standard Fire Office Company,0
190,Belfast Steamship Company Limited,0
191,Belfast Street Tramways Company,0
192,Belize Estate and Produce Company Limited,0
193,Ben Rydding Hydropathic Company,0
194,Bengal Mills Company,0
195,Benhar Coal Company Limited,0
196,"Benjamin Whiteworth & Brothers ",0
197,Bennett Brown & Co.,0
198,Berehaven Copper Mining Company Limited,0
199,"Berkin Manor, Horton, Bucks",0
200,Berlin Phosphate Sewage and Manure Company Limited,0
201,Bessbrook Spinning Company Limited,0
202,Beyrouth Waterworks Company Limited,0
203,Bilbao Iron Ore Company Limited,0
